datetime,day_of_week,hour,patients_arrived,avg_acuity_level,doctors_on_shift,nurses_on_shift,arrival_to_provider_time_min,left_without_being_seen_pct,ed_length_of_stay_min,admissions,readmissions_within_30_days,patient_satisfaction_score,hospital_id,hospital_type,icu_beds_total,icu_occupancy_pct,diagnostic_imaging_avg_wait_time_min,critical_equipment_down_pct_time,sep1_compliance_pct
2025-05-01 00:00:00,Thursday,0,4,3.5,1,3,17.035179555629977,10.165104311118892,310.21265360633464,0,0,65.66033377434795,H1,Safety-Net,10,41.90934557916589,58.90609975571328,0.0,46.51502518029602
2025-05-01 01:00:00,Thursday,1,5,2.6,1,3,35.66188332225842,6.844884969062935,309.6525810111704,1,0,69.34974037722122,H1,Safety-Net,10,34.73291511549671,59.07220676121161,0.0,59.89263961646564
2025-05-01 02:00:00,Thursday,2,6,3.4,1,3,27.03181703563605,18.651588285619948,309.08065952931685,0,0,73.29003080227692,H1,Safety-Net,10,23.333026496727577,66.10143001213329,0.0,39.16304099326238
2025-05-01 03:00:00,Thursday,3,3,2.3,1,3,18.17235359961599,3.184535304065991,134.0630065074239,0,0,77.62964345883194,H1,Safety-Net,10,12.97300540339769,32.647964772626665,0.0,65.99133632164042
2025-05-01 04:00:00,Thursday,4,4,2.4,1,3,19.204036629338706,5.155900771873098,208.14917972809243,0,0,73.49935016959981,H1,Safety-Net,10,0.9321390577777875,47.352166149559075,0.0,63.192909709425535
2025-05-01 05:00:00,Thursday,5,5,2.8,1,3,19.9315799340109,12.525295071004876,258.8675798319909,0,0,64.49373661080325,H1,Safety-Net,10,0.0,47.141878976791,0.0,41.14778062252893
2025-05-01 06:00:00,Thursday,6,2,3.1,1,3,10.277275888554016,2.310502416796988,184.04482183257338,0,0,83.94524305097376,H1,Safety-Net,10,0.0,26.550058658134272,0.0,71.88504850928949
2025-05-01 07:00:00,Thursday,7,1,3.3,2,5,11.837156519446586,4.750544144929648,182.06107747057843,0,0,68.75117354934514,H1,Safety-Net,10,0.0,32.39152161864098,0.0,79.42130965041315
2025-05-01 08:00:00,Thursday,8,4,3.4,2,5,15.638102642752703,1.392935151523395,176.35996258373768,0,0,73.57508316388753,H1,Safety-Net,10,0.0,39.51862979238433,0.0,65.31914128230724
2025-05-01 09:00:00,Thursday,9,5,4.3,2,5,16.026198754082976,7.084889948222209,265.22446056534596,0,0,73.21774903830828,H1,Safety-Net,10,0.0,56.141915240393985,0.0,44.56299176449794
