datetime,day_of_week,hour,patients_arrived,avg_acuity_level,doctors_on_shift,nurses_on_shift,arrival_to_provider_time_min,left_without_being_seen_pct,ed_length_of_stay_min,admissions,readmissions_within_30_days,patient_satisfaction_score,hospital_id,hospital_type,icu_beds_total,icu_occupancy_pct,diagnostic_imaging_avg_wait_time_min,critical_equipment_down_pct_time,sep1_compliance_pct
2025-05-01 00:00:00,Thursday,0,2,3.5,1,3,58.74637598229939,10.979757206564159,252.18358446739313,0,0,50.0,H1,Safety-Net,10,62.88216845813474,69.87200075746972,0.04881470653900835,39.03507942426097
2025-05-01 01:00:00,Thursday,1,2,2.6,1,3,61.035387065817446,13.158283853092648,280.58003755823853,1,0,50.0,H1,Safety-Net,10,55.3016522313592,41.0907772801023,0.0,68.16026243203657
2025-05-01 02:00:00,Thursday,2,2,3.4,1,3,42.81634602261077,8.573592182617068,252.94754882348826,0,0,50.0,H1,Safety-Net,10,35.627172830906325,40.94512715187183,0.0,41.73441045081176
2025-05-01 03:00:00,Thursday,3,1,2.3,1,3,26.344087881878465,1.1451612473324668,165.72668529714656,0,0,69.32316174493484,H1,Safety-Net,10,30.00749948800391,23.045439708838828,0.0,70.28248393522286
2025-05-01 04:00:00,Thursday,4,2,2.4,1,3,44.62187089878211,6.414190105937713,171.99766569617054,0,0,52.6958200846919,H1,Safety-Net,10,23.61112642423881,36.437526956103234,0.0,69.23485849834795
2025-05-01 05:00:00,Thursday,5,3,2.8,1,3,54.33533017851344,15.010042807942034,187.61150876484479,0,0,50.0,H1,Safety-Net,10,9.01961738523847,35.587316498086274,0.0,42.814515553697575
2025-05-01 06:00:00,Thursday,6,1,3.1,1,3,33.23200420283356,0.4300227079401424,176.4489443911977,0,0,63.2734198193253,H1,Safety-Net,10,0.0,34.36127689476681,0.0,58.252860905845566
2025-05-01 07:00:00,Thursday,7,1,3.3,2,5,25.53951554901739,1.1459229128688926,129.84647080524752,0,0,69.62195217658584,H1,Safety-Net,10,0.0,18.892278632990305,0.0,59.768192021356846
2025-05-01 08:00:00,Thursday,8,5,3.4,2,5,63.476291039372235,18.150289470660148,228.06048819602904,0,0,50.0,H1,Safety-Net,10,0.0,38.51215298886428,0.0,41.294137785697394
2025-05-01 09:00:00,Thursday,9,7,4.3,2,5,105.64736432102175,25.0,374.9717114748766,0,0,50.0,H1,Safety-Net,10,0.0,64.59175364158085,0.0,30.0
2025-05-01 10:00:00,Thursday,10,6,4.1,2,5,96.02671295127453,25.0,348.8545825257072,0,0,50.0,H1,Safety-Net,10,0.0,61.18482045533872,0.0,30.0
2025-05-01 11:00:00,Thursday,11,4,4.4,2,5,68.34678652005209,18.726338099958845,303.788191174815,0,1,50.0,H1,Safety-Net,10,0.0,73.06937877609352,0.04491980734582397,30.0
2025-05-01 12:00:00,Thursday,12,10,4.0,2,5,133.3648996552141,25.0,413.34799897026875,0,0,50.0,H1,Safety-Net,10,0.0,77.3236153428208,0.0,30.0
2025-05-01 13:00:00,Thursday,13,8,3.1,2,5,92.41961145186312,25.0,363.52351880727923,1,0,50.0,H1,Safety-Net,10,0.7302700804486376,55.08119405520823,0.0,30.0
